Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Epoch:600 | Test PESQ:1.042 | Test CSIG:1.010 | Test CBAK:1.072 | Test COVL:1.001
Epoch:601 | Test PESQ:1.044 | Test CSIG:1.001 | Test CBAK:1.041 | Test COVL:1.000
Epoch:602 | Test PESQ:1.044 | Test CSIG:1.003 | Test CBAK:1.059 | Test COVL:1.000
Epoch:603 | Test PESQ:1.041 | Test CSIG:1.006 | Test CBAK:1.062 | Test COVL:1.000
Epoch:604 | Test PESQ:1.044 | Test CSIG:1.001 | Test CBAK:1.040 | Test COVL:1.000
Epoch:605 | Test PESQ:1.044 | Test CSIG:1.002 | Test CBAK:1.031 | Test COVL:1.000
Epoch:606 | Test PESQ:1.045 | Test CSIG:1.003 | Test CBAK:1.041 | Test COVL:1.000
Epoch:607 | Test PESQ:1.040 | Test CSIG:1.004 | Test CBAK:1.072 | Test COVL:1.000
Epoch:608 | Test PESQ:1.047 | Test CSIG:1.001 | Test CBAK:1.028 | Test COVL:1.000
Epoch:609 | Test PESQ:1.047 | Test CSIG:1.002 | Test CBAK:1.044 | Test COVL:1.000
Epoch:610 | Test PESQ:1.047 | Test CSIG:1.003 | Test CBAK:1.037 | Test COVL:1.000
Epoch:611 | Test PESQ:1.047 | Test CSIG:1.004 | Test CBAK:1.032 | Test COVL:1.000
Epoch:612 | Test PESQ:1.048 | Test CSIG:1.003 | Test CBAK:1.033 | Test COVL:1.000
Epoch:613 | Test PESQ:1.047 | Test CSIG:1.003 | Test CBAK:1.037 | Test COVL:1.000
Epoch:614 | Test PESQ:1.041 | Test CSIG:1.005 | Test CBAK:1.083 | Test COVL:1.000
Epoch:615 | Test PESQ:1.047 | Test CSIG:1.004 | Test CBAK:1.019 | Test COVL:1.000
Epoch:616 | Test PESQ:1.046 | Test CSIG:1.006 | Test CBAK:1.074 | Test COVL:1.000
Epoch:617 | Test PESQ:1.051 | Test CSIG:1.001 | Test CBAK:1.033 | Test COVL:1.000
Epoch:618 | Test PESQ:1.047 | Test CSIG:1.004 | Test CBAK:1.040 | Test COVL:1.000
Epoch:619 | Test PESQ:1.049 | Test CSIG:1.006 | Test CBAK:1.039 | Test COVL:1.001
Epoch:620 | Test PESQ:1.051 | Test CSIG:1.009 | Test CBAK:1.066 | Test COVL:1.001
Epoch:621 | Test PESQ:1.050 | Test CSIG:1.006 | Test CBAK:1.048 | Test COVL:1.001
Epoch:622 | Test PESQ:1.055 | Test CSIG:1.004 | Test CBAK:1.035 | Test COVL:1.002
Epoch:623 | Test PESQ:1.051 | Test CSIG:1.003 | Test CBAK:1.042 | Test COVL:1.001
Epoch:624 | Test PESQ:1.052 | Test CSIG:1.002 | Test CBAK:1.022 | Test COVL:1.000
Epoch:625 | Test PESQ:1.043 | Test CSIG:1.006 | Test CBAK:1.050 | Test COVL:1.000
Epoch:626 | Test PESQ:1.046 | Test CSIG:1.006 | Test CBAK:1.051 | Test COVL:1.000
Epoch:627 | Test PESQ:1.047 | Test CSIG:1.001 | Test CBAK:1.044 | Test COVL:1.000
Epoch:628 | Test PESQ:1.042 | Test CSIG:1.002 | Test CBAK:1.062 | Test COVL:1.000
Epoch:629 | Test PESQ:1.045 | Test CSIG:1.014 | Test CBAK:1.076 | Test COVL:1.002
Epoch:630 | Test PESQ:1.047 | Test CSIG:1.012 | Test CBAK:1.038 | Test COVL:1.001
Epoch:631 | Test PESQ:1.047 | Test CSIG:1.006 | Test CBAK:1.045 | Test COVL:1.000
Epoch:632 | Test PESQ:1.044 | Test CSIG:1.002 | Test CBAK:1.043 | Test COVL:1.000
Epoch:633 | Test PESQ:1.048 | Test CSIG:1.005 | Test CBAK:1.026 | Test COVL:1.000
Epoch:634 | Test PESQ:1.044 | Test CSIG:1.005 | Test CBAK:1.104 | Test COVL:1.001
Epoch:635 | Test PESQ:1.047 | Test CSIG:1.007 | Test CBAK:1.031 | Test COVL:1.001
Epoch:636 | Test PESQ:1.047 | Test CSIG:1.002 | Test CBAK:1.048 | Test COVL:1.001
Epoch:637 | Test PESQ:1.049 | Test CSIG:1.003 | Test CBAK:1.026 | Test COVL:1.000
Epoch:638 | Test PESQ:1.044 | Test CSIG:1.008 | Test CBAK:1.034 | Test COVL:1.001
Epoch:639 | Test PESQ:1.049 | Test CSIG:1.003 | Test CBAK:1.021 | Test COVL:1.000
Epoch:640 | Test PESQ:1.046 | Test CSIG:1.008 | Test CBAK:1.057 | Test COVL:1.000
Epoch:641 | Test PESQ:1.054 | Test CSIG:1.005 | Test CBAK:1.030 | Test COVL:1.001
Epoch:642 | Test PESQ:1.045 | Test CSIG:1.003 | Test CBAK:1.033 | Test COVL:1.000
Epoch:643 | Test PESQ:1.048 | Test CSIG:1.002 | Test CBAK:1.041 | Test COVL:1.001
Epoch:644 | Test PESQ:1.048 | Test CSIG:1.004 | Test CBAK:1.046 | Test COVL:1.001
